Question,Response,Rating,Processed_Text
Are you satisfied with the cleanliness of the mall?,Average,3,average
Are the staff and security helpful and polite?,Good,5,good
Is the parking and facility (lift/escalator) convenient?,Average,3,average
Are you satisfied with the billing counter service?,Good,5,good
Are you happy with the variety of shops in the mall?,Good,5,good
Are you satisfied with the cleanliness of the mall?,Good,5,good
Are the staff and security helpful and polite?,Average,3,average
Is the parking and facility (lift/escalator) convenient?,Good,5,good
Are you satisfied with the billing counter service?,Worst,1,worst
Are you happy with the variety of shops in the mall?,Worst,1,worst
Are you satisfied with the cleanliness of the mall?,Average,3,average
Are the staff and security helpful and polite?,Average,3,average
Is the parking and facility (lift/escalator) convenient?,Average,3,average
Are you satisfied with the billing counter service?,Average,3,average
Are you happy with the variety of shops in the mall?,Average,3,average
